AppNo,Region,Area,Activity,Guarantor,Collateral,Collateral_valuation,Age,Properties_Status,Properties_Total,Amount,Term,Historic_Loans,Current_Loans,Max_Arrears,Defaulter
358777,10,55,18,0,1,9860,47,B,1,6991,13,10,2,47,0
358778,7,25,14,0,1,5258,58,B,1,9723,45,4,2,0,0
358779,14,60,14,0,1,12300,38,D,1,12741,23,1,1,0,1
358780,10,95,17,0,1,1170,32,B,3,5818,23,10,5,25,0
358781,10,30,1,0,1,1393,40,B,2,3388,19,8,1,0,0
358782,5,20,1,0,0,,28,D,1,5764,22,1,1,0,0
358783,10,55,14,0,1,28070,40,B,1,33052,13,13,1,12,0
358784,8,25,1,0,0,,35,C,4,3349,35,6,3,0,0
358785,10,65,14,0,1,1276,29,B,2,2808,11,8,2,0,0
358786,9,30,14,0,0,,60,B,1,12420,33,4,1,0,0
358787,9,95,14,0,1,4308,64,B,1,3626,23,1,1,0,0
358788,9,95,,0,1,2685,44,B,2,2789,23,8,2,0,0
358789,10,90,14,0,1,1024,21,D,3,2210,11,4,3,0,0
358790,14,40,14,0,1,1664,53,B,4,1344,12,3,1,11,0
358791,5,25,19,0,0,,45,B,2,6588,35,2,2,0,0
358792,14,60,1,0,1,2133,21,A,1,5156,36,2,2,0,0
358793,7,35,1,0,0,,43,B,1,4468,24,1,1,0,0
358794,10,5,14,0,1,14129,36,B,1,14362,12,9,1,42,0
358795,14,40,14,0,1,2682,55,B,4,5290,11,10,,48,0
358796,5,20,2,0,1,9601,51,B,1,11471,49,4,3,0,0
358797,7,5,1,0,0,,41,B,2,4220,11,11,1,73,0
358798,14,40,14,0,1,13395,45,B,2,13279,12,1,1,0,0
358799,14,85,1,0,1,6214,39,B,1,5000,23,2,,95,0
358800,8,20,18,0,0,,46,B,2,14113,23,1,1,0,0
358801,11,5,18,0,0,,54,B,1,65431,22,6,1,0,0
358802,10,45,18,0,1,7058,41,D,3,6445,23,22,9,0,0
358803,11,15,19,0,1,9840,54,B,3,9813,24,16,1,3,0
358804,10,20,14,0,1,2010,36,B,1,5260,23,1,1,0,0
358805,10,95,,1,0,,48,B,1,5592,22,1,,0,0
358806,14,40,14,0,1,1454,40,B,2,4467,13,1,,248,0
358807,13,20,1,0,0,,51,B,1,8443,30,6,,596,1
358808,14,35,1,0,1,24114,29,B,2,19270,47,2,2,0,0
358809,14,60,19,0,1,18239,47,B,1,18198,36,6,3,116,1
358810,10,30,14,0,0,,24,B,2,2364,12,6,3,125,0
358811,10,90,14,0,1,3245,25,B,2,4089,11,5,5,0,0
358812,3,10,,0,0,,51,B,1,13310,48,3,3,0,0
358813,7,5,14,0,0,,26,B,1,12820,11,14,3,2,0
358814,10,45,14,0,1,559,44,A,3,1715,13,10,5,0,0
358815,10,45,14,1,1,1118,43,D,3,25998,24,1,,0,0
358816,9,55,14,0,0,,51,B,1,4002,22,2,,39,0
358817,9,25,1,0,1,3303,43,B,2,3008,23,1,,296,1
358818,9,45,,0,0,,65,B,1,16534,24,2,,0,0
358819,14,85,14,0,1,3917,43,B,1,4876,24,4,2,22,0
358820,13,10,2,0,0,,55,D,1,5716,25,5,3,0,0
358821,8,10,3,0,0,,59,D,3,6883,46,3,1,72,0
358822,10,25,14,0,1,1419,28,B,1,3923,12,10,,137,0
358823,4,5,2,0,0,,31,B,5,9079,33,2,2,0,0
358824,6,10,14,0,1,15221,40,B,1,15069,23,8,,955,1
358825,8,20,,0,0,,28,B,3,1754,23,2,1,0,0
358826,4,20,,0,0,,35,D,1,7454,34,1,,0,0
358827,10,5,14,0,1,1354,61,B,1,3743,24,1,1,0,0
358828,9,5,18,0,1,12086,53,B,2,23209,21,7,1,0,0
358829,8,40,14,0,1,614,43,D,1,4255,35,7,5,0,0
358830,14,80,18,0,0,,31,B,2,17385,13,13,,5,0
358831,10,45,10,0,1,7313,50,A,5,6379,12,11,3,8,0
358832,8,15,4,0,0,,36,D,3,1241,59,1,1,0,0
358833,14,85,14,0,1,840,56,A,1,2019,23,4,,340,0
358834,9,20,1,0,0,,54,A,1,3539,22,3,1,72,0
358835,10,45,14,0,1,2304,31,B,3,2542,13,9,2,0,0
358836,7,5,19,0,0,,19,B,1,5678,46,1,1,0,1
358837,8,40,5,0,1,6447,44,D,1,5489,11,5,2,0,0
358838,7,35,,1,0,,27,A,1,14383,16,4,2,0,1
358839,10,20,1,1,1,3128,34,B,1,5201,12,1,1,0,0
358840,8,70,18,0,0,,36,B,1,13665,23,1,,0,0
358841,13,5,3,0,0,,40,A,1,10871,22,5,,238,1
358842,8,25,1,0,1,3862,40,B,2,6411,46,1,1,0,0
358843,8,5,,0,0,,36,D,1,1141,35,9,4,1417,0
358844,10,25,18,0,1,6147,41,B,2,5689,19,17,1,18,0
358845,7,5,9,0,0,,63,B,1,16839,46,3,,255,1
358846,10,25,1,0,1,1965,50,B,3,2954,22,2,1,0,0
358847,10,5,14,0,1,730,32,D,2,1350,11,5,1,0,0
358848,10,10,1,0,1,2889,35,D,4,8958,33,8,1,0,0
358849,14,60,14,0,1,18288,38,B,2,20623,22,2,,132,0
358850,9,40,14,0,1,9578,42,B,2,9035,35,4,2,0,0
358851,10,15,1,1,0,,23,D,1,2777,23,3,1,0,0
358852,10,55,14,1,0,,62,B,1,15802,23,4,3,0,0
358853,10,65,14,0,1,1945,43,D,2,2226,11,2,1,0,0
358854,6,25,1,0,1,38663,48,B,1,39939,56,1,1,0,0
358855,8,30,17,0,1,12684,54,B,1,9748,34,4,2,128,0
358856,10,15,1,0,1,895,56,D,3,3302,22,23,1,95,0
358857,4,15,1,0,0,,34,A,2,5746,41,1,1,0,0
358858,7,5,19,0,0,,26,B,2,6548,47,3,1,0,0
358859,6,40,,0,1,2113,55,B,2,3044,23,1,1,0,0
358860,14,35,,0,1,847,62,B,1,1278,22,1,,0,0
358861,10,5,14,0,1,5190,25,B,3,5893,11,3,1,0,0
358862,9,55,14,0,1,22350,54,B,2,20327,24,6,1,0,0
358863,11,30,1,0,1,3888,36,A,2,3879,31,13,3,97,0
358864,7,25,3,0,1,11223,49,B,2,8634,25,10,,0,0
358865,10,25,17,1,0,,20,B,3,5197,23,2,1,0,0
358866,9,57,14,0,1,5539,24,D,1,10074,46,3,2,119,0
358867,8,30,9,0,0,,64,B,1,12720,46,1,1,0,0
358868,10,5,14,0,1,2456,28,D,3,2970,11,9,3,0,0
358869,7,35,14,0,1,5090,32,A,2,7167,23,5,5,0,0
358870,10,45,14,0,1,6525,43,D,3,8088,23,1,1,0,0
358871,14,35,14,0,1,995,25,B,1,1650,11,1,,0,0
358872,10,5,1,0,1,9061,51,D,1,7354,36,1,1,0,0
358873,7,5,4,0,0,,47,C,1,1251,20,4,,13,0
358874,14,85,1,0,1,2618,36,B,1,2449,23,1,,286,0
358875,11,35,14,0,1,2482,21,A,1,4572,36,11,3,0,0
358876,14,60,14,0,1,2766,49,B,2,4401,22,4,4,0,0
358877,8,50,14,0,0,,47,D,4,3763,18,2,1,0,1
358878,10,5,17,0,1,6085,55,B,2,5427,35,1,1,0,0
358879,5,10,19,0,0,,40,B,1,14417,33,2,,37,1
358880,9,55,1,0,0,,43,B,2,2696,48,3,3,0,1
358881,14,85,1,0,0,,30,B,1,1594,23,1,,0,0
358882,7,5,19,0,0,,48,B,2,1659,46,9,6,3,1
358883,7,25,2,1,0,,27,A,1,22540,12,3,2,65,1
358884,9,55,14,0,1,4237,25,B,1,9296,21,2,1,0,0
358885,9,15,18,0,1,2417,31,B,6,8251,23,1,,0,0
358886,9,45,18,0,0,,46,B,1,25284,23,4,,182,0
358887,10,45,14,0,1,6715,26,A,2,6057,13,3,1,0,0
358888,13,10,8,0,0,,20,A,2,8040,36,1,,0,0
358889,10,5,14,0,1,1354,26,D,3,2513,11,12,5,0,0
358890,5,25,19,0,1,11029,31,B,4,11056,19,6,2,0,0
358891,6,10,14,0,0,,32,A,1,5639,35,1,1,0,0
358892,8,15,1,1,1,5064,44,D,1,6777,34,1,1,0,1
358893,14,40,14,0,1,3416,50,B,3,3383,11,3,2,0,0
358894,11,35,19,0,0,,31,B,1,2215,23,4,,198,0
358895,10,30,1,0,1,20598,27,A,2,38464,35,14,5,0,0
358896,10,5,14,0,1,3994,36,B,2,4699,11,3,2,27,0
358897,11,25,,0,0,,49,B,2,3260,11,7,1,77,0
358898,8,15,1,0,0,,32,D,3,5990,30,4,4,0,0
358899,14,60,14,0,1,7733,62,B,1,10859,23,2,2,0,0
358900,5,20,8,0,1,388,29,C,2,9280,23,3,2,0,1
358901,11,5,1,0,1,6008,39,B,2,8354,46,6,4,283,0
358902,14,80,1,0,1,1467,55,B,3,1293,24,2,1,4,0
358903,9,25,14,0,0,,28,D,2,2038,23,2,1,0,1
358904,10,70,14,0,1,10645,51,B,1,15910,23,2,1,0,0
358905,10,25,14,0,1,3426,35,B,2,3079,12,1,,0,0
358906,10,20,1,0,1,1121,51,B,2,5513,23,9,1,0,0
358907,8,25,1,0,1,1199,32,B,5,1348,19,6,1,251,0
358908,7,15,19,0,0,,25,B,4,6673,47,1,1,0,1
358909,8,20,1,1,0,,25,B,1,25228,24,2,2,0,1
358910,9,15,18,0,0,,47,B,3,28083,21,2,,633,0
358911,8,50,1,0,0,,35,D,1,6758,47,1,1,0,1
358912,6,40,1,0,1,4557,54,B,2,4276,23,6,2,3,0
358913,6,45,1,0,0,,29,A,1,6947,46,1,1,0,1
358914,6,40,3,0,1,2673,46,B,2,4669,30,4,,0,0
358915,9,35,1,0,1,2446,36,B,1,15088,59,5,1,469,1
358916,7,5,5,0,0,,39,B,2,2629,11,4,1,0,0
358917,9,90,1,0,1,14322,47,B,1,24476,35,7,,1646,0
358918,10,55,1,0,1,2026,33,D,2,4501,23,6,3,0,0
358919,8,40,1,0,1,8939,25,A,2,8113,35,4,1,64,0
358920,9,40,,0,1,4899,32,D,3,9412,35,2,1,0,0
358921,8,30,18,0,1,18766,47,D,3,15757,23,2,2,0,0
358922,10,65,14,0,1,1066,23,D,2,2139,12,2,,0,0
358923,10,65,1,0,1,5487,21,B,2,7986,23,5,1,0,0
358924,10,75,,0,1,1613,37,B,1,1561,11,1,,4,0
358925,9,5,1,0,0,,44,B,2,2568,23,4,2,0,0
358926,8,15,2,0,0,,62,D,2,5222,45,3,1,25,0
358927,9,30,1,0,1,2185,39,B,1,1909,21,2,1,0,0
358928,10,5,1,0,1,4666,41,D,2,6044,35,6,1,1,0
358929,5,5,3,0,0,,40,B,2,5253,48,5,2,255,1
358930,5,15,2,0,0,,28,A,2,10135,24,1,1,0,0
358931,13,5,19,0,1,37752,35,B,1,35011,47,1,,28,1
358932,9,30,14,0,0,,34,B,1,8379,24,4,3,0,1
358933,7,30,19,1,0,,53,B,1,5177,35,1,1,0,0
358934,12,5,1,0,0,,33,B,1,3157,23,2,1,100,0
358935,12,15,1,0,1,48904,27,A,1,40503,36,2,1,0,1
358936,10,15,1,1,0,,23,B,1,3294,23,1,1,0,0
358937,9,35,1,0,1,1474,35,D,2,5732,24,10,,1,0
358938,10,45,14,0,1,2647,21,A,2,2738,12,8,3,0,0
358939,4,15,14,0,0,,43,B,2,4823,24,1,1,0,1
358940,7,45,1,0,0,,48,B,1,1800,22,1,,1,0
358941,8,5,3,0,0,,41,D,1,9167,57,7,2,116,0
358942,7,35,2,0,0,,22,A,1,12865,20,1,1,0,1
358943,10,95,14,0,1,892,51,B,5,1881,22,7,3,53,0
358944,10,15,1,0,1,2715,38,B,1,2882,23,10,2,59,0
358945,13,10,19,0,0,,46,B,3,10755,11,2,,71,0
358946,9,10,18,0,0,,42,B,3,10691,23,4,,2095,0
358947,7,30,19,0,0,,40,D,2,8050,35,4,3,0,0
358948,5,10,3,0,0,,28,C,4,8910,22,4,4,18,0
358949,7,25,9,0,0,,22,A,2,5517,18,6,1,238,1
358950,9,30,1,0,1,18511,32,B,1,24733,46,2,2,0,0
358951,9,85,1,0,0,,43,D,3,2411,23,8,1,208,0
358952,11,35,1,0,1,6680,66,B,1,5551,33,15,2,17,0
358953,9,80,18,0,0,,51,B,1,5195,24,2,,25,0
358954,10,55,,0,1,12587,55,B,1,9800,12,2,2,0,0
358955,14,50,1,0,1,1726,59,B,2,1518,22,5,,182,0
358956,7,30,3,1,0,,40,D,1,11601,33,8,,1073,0
358957,4,15,3,0,0,,50,B,1,2659,61,1,1,0,0
358958,7,40,1,0,1,13272,43,B,2,12685,36,1,1,0,0
358959,11,5,14,0,1,13893,33,D,1,19308,35,2,1,283,1
358960,9,10,1,0,1,1280,38,B,6,2880,23,2,1,0,0
358961,6,45,1,0,0,,45,B,1,3726,23,4,1,43,0
358962,11,5,19,0,1,3338,41,B,1,5550,24,3,1,130,0
358963,10,65,14,0,1,6916,34,B,1,9710,23,5,1,29,0
358964,8,70,1,0,0,,25,B,2,5526,34,9,3,78,0
358965,7,45,3,0,0,,55,B,4,12557,18,1,1,0,0
358966,9,65,14,0,1,13531,43,B,1,11502,11,4,1,10,0
358967,10,65,14,0,1,3791,33,B,3,3077,12,7,3,19,0
358968,7,35,19,0,1,4834,29,B,1,9143,36,5,2,0,1
358969,10,5,14,0,1,2711,37,B,5,7725,11,6,2,0,0
358970,9,5,14,0,0,,50,B,1,2222,22,1,,11,0
358971,4,20,,0,0,,40,B,2,6933,24,6,,16,0
358972,10,95,1,0,1,4208,47,B,2,6166,23,6,1,0,0
358973,10,5,1,0,1,6376,42,D,2,6106,35,16,3,0,0
358974,13,5,1,0,0,,25,A,1,49562,22,5,2,10,0
358975,10,90,1,0,1,2243,54,B,2,1959,23,14,,12,0
358976,11,5,18,0,0,,45,B,3,38660,23,1,1,0,0
358977,8,40,1,0,1,1819,51,B,2,1836,22,2,,14,0
358978,4,15,1,0,0,,33,B,2,13522,46,1,,4,0
358979,10,15,17,0,1,843,55,B,1,6180,22,1,1,0,0
358980,9,95,14,1,1,1457,49,B,1,4388,23,5,4,0,0
358981,5,10,8,0,1,11760,31,B,1,40100,24,1,1,0,0
358982,10,20,,0,1,6841,27,B,2,6389,23,5,1,26,0
358983,7,30,1,1,0,,56,B,1,1780,19,2,1,0,0
358984,10,25,14,0,1,6159,49,B,2,4823,12,17,1,0,0
358985,10,45,14,0,1,3267,39,B,1,4713,23,3,3,0,0
358986,7,20,1,1,1,1493,41,B,1,6822,35,3,1,0,0
358987,14,50,1,0,1,1002,42,B,1,1362,35,4,3,25,0
358988,11,10,14,0,0,,28,B,1,8626,23,4,2,0,0
358989,7,10,1,0,1,4899,50,B,1,5121,23,3,1,23,0
358990,10,25,17,0,1,4279,28,D,2,7801,23,1,,0,0
358991,14,85,14,0,1,1713,60,B,3,1674,22,4,2,391,0
358992,10,65,14,1,1,2547,45,B,1,5624,11,2,2,0,0
358993,5,40,8,0,0,,34,B,2,3000,28,1,1,0,0
358994,10,45,10,0,0,,34,D,2,2076,13,8,1,101,0
358995,11,15,,0,1,2336,46,B,1,6182,34,1,1,0,0
358996,7,25,1,0,0,,49,B,2,4447,58,20,4,0,0
358997,10,25,14,0,1,2918,39,D,4,2854,11,5,2,0,0
358998,10,5,19,0,1,1008,51,B,2,1212,22,5,2,20,0
358999,14,85,2,0,1,2456,59,B,2,1795,13,7,2,245,0
359000,9,70,19,0,1,4098,32,B,3,6657,23,15,2,18,0
359001,10,5,1,0,1,3206,47,B,3,2604,23,13,2,25,0
359002,10,5,,1,0,,45,B,2,6272,11,1,1,0,0
359003,10,95,17,0,1,1890,40,B,1,5156,22,6,3,0,0
359004,14,60,18,1,0,,34,D,1,12500,23,4,1,294,0
359005,10,10,9,1,0,,36,B,1,3361,22,4,2,0,0
359006,10,5,,0,1,895,29,A,3,1571,23,9,1,0,0
359007,10,5,14,0,1,2159,40,B,4,5796,13,15,1,7,0
359008,12,10,19,0,1,10764,51,B,1,21527,36,3,,14,0
359009,14,50,,0,1,1428,60,D,1,1579,47,5,,226,0
359010,9,5,1,0,1,6922,27,B,4,5639,58,12,6,20,0
359011,10,15,1,1,0,,45,B,2,5439,34,3,2,11,0
359012,10,15,1,0,1,1309,36,D,1,2107,21,2,1,0,0
359013,9,5,14,0,0,,39,B,1,10415,24,8,4,0,1
359014,5,15,1,0,0,,26,A,3,6711,24,8,2,0,0
359015,10,65,14,0,1,679,35,B,3,2861,11,3,2,0,0
359016,10,45,1,1,0,,41,B,2,9752,22,3,,7,1
359017,9,95,14,0,1,1037,40,B,3,6638,36,1,1,0,0
359018,7,5,1,0,0,,51,B,2,1503,22,12,2,8,0
359019,6,10,1,0,1,9139,36,A,2,18788,47,5,3,0,0
359020,14,85,14,0,1,233,43,B,3,1346,23,3,3,0,0
359021,8,40,5,0,1,2059,32,B,1,2239,11,2,1,0,0
359022,7,5,19,0,0,,22,B,2,5678,47,1,1,0,0
359023,4,10,2,0,1,3241,27,C,2,4361,47,4,3,3,1
359024,7,5,3,0,0,,50,B,1,6736,23,2,1,0,0
359025,14,60,18,0,1,10480,61,D,1,11272,22,1,,0,0
359026,10,45,10,1,0,,28,A,1,1664,12,7,2,9,0
359027,8,5,1,0,0,,39,B,1,16081,47,4,,0,0
359028,7,35,,0,1,10002,51,B,1,13294,46,5,,251,1
359029,7,15,2,0,0,,38,D,1,25451,11,9,1,9,1
359030,9,25,,0,1,4553,23,B,1,18245,35,1,1,0,0
359031,9,25,14,0,0,,51,A,1,2345,36,1,1,0,0
359032,10,55,1,0,1,2947,55,B,1,3052,23,2,,0,0
359033,10,70,1,1,1,3371,27,A,1,4060,21,2,,89,0
359034,7,30,19,0,1,7349,40,B,1,6278,35,1,1,0,0
359035,10,90,1,0,1,8654,51,D,2,6972,36,17,3,2,0
359036,4,15,19,0,0,,31,D,1,7270,23,1,1,0,1
359037,9,65,1,0,1,22085,21,A,1,16617,47,6,2,14,1
359038,9,57,1,0,0,,32,B,1,4807,22,1,,141,0
359039,5,20,19,0,0,,49,B,1,7996,23,1,1,0,1
359040,8,35,3,0,1,1629,27,B,2,1802,36,2,2,0,0
359041,13,5,3,0,0,,47,A,1,12547,22,2,2,0,0
359042,10,5,14,0,1,3981,19,D,3,6053,11,3,1,0,0
359043,7,50,4,0,0,,35,A,3,5166,23,5,,0,0
359044,9,30,14,0,0,,51,B,2,1419,22,1,,181,0
359045,8,45,1,0,0,,24,D,2,2355,23,1,1,0,0
359046,4,15,3,0,0,,35,D,3,9978,35,5,,0,0
359047,10,65,14,0,1,743,36,B,2,1416,11,8,1,8,0
359048,10,45,10,0,0,,51,B,3,7757,12,17,3,0,0
359049,7,5,3,1,0,,37,A,1,1933,46,1,1,0,0
359050,7,15,19,0,0,,26,D,1,4178,46,1,1,0,1
359051,10,45,10,1,0,,44,B,2,3511,12,6,1,193,0
359052,7,15,18,0,0,,46,B,2,18074,23,1,,0,1
359053,7,20,1,1,0,,46,D,2,2281,23,2,2,0,0
359054,10,25,14,0,1,9145,63,D,2,8150,12,2,1,0,0
359055,10,5,1,0,1,3939,52,B,4,4266,22,2,1,4,0
359056,10,75,,0,1,789,36,B,2,1235,11,4,2,0,0
359057,7,30,3,0,1,4214,36,A,1,4143,20,2,1,0,0
359058,9,5,18,0,0,,46,B,2,16229,22,1,,147,0
359059,10,70,14,0,1,4282,50,D,2,4799,22,13,4,7,1
359060,14,40,14,0,1,18152,37,B,2,18121,22,1,1,0,0
359061,9,75,14,0,0,,44,A,2,8267,23,10,4,0,0
359062,10,55,19,0,1,4243,59,B,1,5946,23,4,2,3,0
359063,9,40,1,0,0,,24,B,2,1720,24,1,1,0,1
359064,7,35,9,0,1,8266,51,B,1,9274,48,5,2,0,0
359065,10,95,17,0,1,1890,36,D,2,6501,22,8,2,25,0
359066,8,25,1,0,0,,48,C,3,12233,12,4,1,0,0
359067,14,40,14,0,1,4243,56,B,2,4540,20,1,1,0,0
359068,14,35,18,0,0,,52,B,1,9044,13,13,3,31,0
359069,14,60,1,0,1,1247,48,B,2,1266,23,6,2,84,0
359070,7,35,9,0,1,7387,40,D,2,6263,11,3,,176,0
359071,11,35,18,0,1,8871,35,B,2,7828,46,5,,32,0
359072,10,15,1,0,1,4492,40,B,6,4044,22,8,5,25,0
359073,10,90,17,1,0,,44,B,1,4869,47,10,1,27,0
359074,10,10,1,0,1,940,51,B,1,2110,22,1,1,0,0
359075,9,30,1,0,1,5374,33,D,2,10112,48,1,,0,1
359076,10,75,1,0,1,10519,32,B,3,7635,23,3,3,0,0
359077,14,35,1,0,1,1432,55,B,1,1446,23,5,1,98,0
359078,9,20,3,0,1,7145,49,B,1,9487,47,2,2,0,1
359079,8,30,1,0,0,,42,B,1,7748,24,1,,60,0
359080,11,5,1,0,1,4485,31,B,1,10434,34,4,1,0,0
359081,14,80,9,0,1,1722,37,D,2,3571,23,1,,0,0
359082,9,10,1,0,0,,28,D,2,7980,46,7,3,8,0
359083,11,15,1,0,1,5549,29,B,2,24249,30,4,,0,0
359084,10,90,,0,1,5849,36,D,2,4964,48,8,2,0,0
359085,7,25,1,0,1,21884,41,B,3,26157,12,5,1,4,0
359086,8,60,18,0,0,,43,B,2,18347,29,7,3,0,0
359087,10,5,1,0,1,5749,47,B,1,8899,36,2,1,0,0
359088,10,55,14,0,1,934,23,B,1,2482,12,6,1,1,0
359089,5,20,2,0,0,,41,B,1,12666,49,1,1,0,0
359090,10,25,14,0,1,1231,51,B,2,1980,11,3,,13,0
359091,4,20,19,0,0,,39,D,2,10757,59,2,2,0,1
359092,10,5,1,0,1,3787,45,D,1,4717,23,5,3,52,0
359093,7,30,1,0,0,,33,B,1,11107,36,3,2,0,1
359094,14,60,14,1,0,,46,B,1,2955,22,2,,7,0
359095,8,40,19,0,1,18058,48,D,1,31798,54,5,,93,1
359096,11,5,1,0,0,,48,B,1,4385,23,3,,182,0
359097,14,80,14,0,1,2275,42,B,5,7572,23,6,4,12,0
359098,14,80,1,0,1,8796,35,B,4,7355,24,6,2,16,0
359099,5,40,1,0,0,,34,D,2,5447,23,2,,0,0
359100,9,40,14,0,1,9569,57,B,1,10272,47,4,2,284,1
359101,10,55,14,0,1,918,28,D,1,2472,12,1,,0,0
359102,13,15,9,0,0,,44,A,1,8062,35,2,1,0,0
359103,10,45,14,0,1,1105,32,A,2,3927,12,5,3,3,0
359104,5,40,9,1,0,,31,D,3,17227,35,9,4,2,1
359105,14,40,1,0,1,2042,39,D,6,2681,22,11,,213,0
359106,11,35,1,1,0,,59,B,1,1655,24,7,3,174,0
359107,6,10,14,0,1,162,32,A,1,1960,33,1,1,0,0
359108,8,30,14,0,1,1971,58,B,1,4781,43,5,4,0,0
359109,14,50,1,0,0,,35,B,1,1548,23,3,2,0,0
359110,14,35,14,0,1,5694,32,B,3,8346,21,2,2,0,0
359111,10,45,14,0,1,6224,40,B,1,14674,23,5,3,25,0
359112,10,45,14,0,1,2472,46,B,2,2627,12,7,5,4,0
359113,14,50,14,0,1,5956,59,B,3,12144,23,1,,0,0
359114,14,50,14,0,1,9278,63,B,2,17482,24,6,4,20,0
359115,8,5,1,0,0,,47,D,2,16153,36,2,2,0,0
359116,14,80,14,0,1,1419,36,B,2,2141,13,4,2,54,0
359117,10,55,14,0,1,2304,55,B,1,3388,12,8,2,0,0
359118,8,10,18,0,0,,55,B,1,8965,23,2,,20,0
359119,10,70,18,0,0,,49,B,1,6365,23,1,1,0,0
359120,9,75,14,0,0,,30,D,1,4008,23,3,1,72,0
359121,9,65,14,0,1,834,24,D,1,3924,23,1,,0,0
359122,8,30,9,0,0,,32,B,1,8133,32,4,1,0,1
359123,9,45,18,0,0,,58,B,1,26994,23,3,1,0,1
359124,9,30,14,0,1,8321,42,B,7,17144,23,6,1,0,0
359125,10,5,,0,1,3448,44,D,3,5125,23,5,1,0,0
359126,7,5,18,0,0,,50,B,1,15239,22,4,3,0,0
359127,14,85,1,0,0,,40,B,3,1258,22,3,,4,0
359128,11,25,18,0,1,4363,40,D,2,7329,45,4,3,0,0
359129,9,57,19,1,0,,32,B,4,10412,34,3,1,20,0
359130,15,5,2,0,0,,40,A,1,2202,35,1,1,0,0
359131,14,85,,0,1,3826,31,B,2,6070,24,2,,222,0
359132,4,5,3,0,0,,50,D,7,5420,35,1,1,0,0
359133,10,20,1,0,1,2117,48,D,2,2957,21,3,2,0,0
359134,10,70,1,1,1,17935,31,B,3,15977,23,14,2,61,0
359135,8,60,1,0,0,,51,B,2,3108,24,1,1,0,0
359136,7,30,19,0,0,,45,B,1,3211,29,5,1,0,0
359137,14,35,18,1,0,,27,B,2,8781,13,3,3,0,0
359138,10,70,14,1,1,2178,62,B,1,2606,23,2,2,0,0
359139,10,15,17,0,1,3432,47,B,1,3820,23,6,,80,0
359140,13,20,1,0,0,,34,A,3,10541,13,4,,29,0
359141,11,5,1,0,1,3215,29,B,1,3174,24,2,1,44,0
359142,14,40,14,0,1,9763,62,B,3,11360,11,8,,7,0
359143,8,30,1,0,1,7633,46,B,2,7991,35,7,1,330,0
359144,9,15,1,0,1,2201,42,B,2,2393,24,2,1,0,0
359145,9,40,1,0,1,3923,22,D,2,3772,33,1,,0,1
359146,8,30,1,0,0,,46,B,1,4767,23,5,1,26,0
359147,10,75,14,0,1,3455,55,B,2,2693,11,3,2,142,0
359148,10,5,,0,1,4873,50,B,1,7125,23,8,3,9,0
359149,10,95,1,0,1,32028,43,B,2,31329,35,8,6,0,1
359150,6,5,18,0,0,,42,B,1,28874,23,1,1,0,0
359151,9,5,14,0,0,,59,B,1,6645,23,1,1,0,0
359152,10,65,1,1,1,4851,51,B,1,3862,12,2,,527,1
359153,10,45,14,1,0,,48,B,2,1548,13,2,2,0,0
359154,10,65,1,0,0,,46,B,2,4913,23,3,,102,0
359155,10,10,14,0,1,5364,41,B,1,7034,22,12,2,0,0
359156,10,5,1,0,1,4230,55,B,3,3780,35,5,1,165,0
359157,7,35,1,0,0,,47,B,1,4209,34,3,,36,0
359158,7,15,15,0,0,,36,A,3,3314,23,2,2,0,0
359159,9,20,1,0,1,1202,42,B,1,1392,34,1,1,0,1
359160,8,15,1,0,1,4860,26,D,4,5892,36,5,4,0,0
359161,10,45,14,0,1,2472,42,B,3,3549,12,15,3,11,0
359162,10,20,1,0,1,2950,21,B,1,5661,22,1,1,0,0
359163,7,5,1,0,0,,43,B,1,2084,19,2,2,0,0
359164,10,30,17,0,1,8522,40,D,1,7130,22,7,,0,0
359165,13,5,3,0,0,,38,A,3,25100,23,3,2,0,0
359166,10,25,14,0,1,869,51,B,2,1903,12,3,2,0,0
359167,9,90,3,0,0,,54,B,1,1366,13,1,1,0,0
359168,9,45,14,0,0,,36,B,1,1499,24,1,1,0,0
359169,8,25,1,0,1,1189,28,C,3,2160,18,1,1,0,0
359170,10,95,1,0,1,8754,47,B,1,7942,23,5,2,0,0
359171,10,65,9,0,1,1005,28,B,1,1555,23,1,,0,0
359172,9,10,14,0,1,7194,55,B,3,8841,11,3,1,0,0
359173,7,15,19,0,0,,32,D,1,1630,47,1,1,0,0
359174,8,60,18,0,0,,32,B,1,74104,23,4,1,388,0
359175,5,35,19,0,0,,44,B,1,15950,23,3,1,0,0
359176,10,65,2,0,1,1784,50,D,1,1472,11,3,,16,0
359177,10,55,18,1,0,,43,B,1,6070,12,1,1,0,0
359178,3,10,4,0,0,,34,B,1,15479,47,1,1,0,0
359179,10,90,1,0,1,4146,31,B,3,3363,47,4,3,0,0
359180,8,30,2,0,1,5975,37,B,3,8245,23,3,2,344,1
359181,7,25,1,1,0,,29,B,9,12057,60,4,2,945,0
359182,7,30,1,0,0,,55,B,2,1354,21,2,,3,0
359183,10,5,17,0,1,7300,38,D,3,7040,35,6,1,13,0
359184,15,5,2,0,0,,18,A,2,3963,23,10,4,2272,1
359185,8,30,,0,1,5581,45,B,2,5656,35,2,1,1,0
359186,14,85,14,0,1,18320,40,A,4,15802,23,5,1,348,0
359187,14,85,,0,0,,26,B,2,3181,23,2,,18,0
